genre
A CAPPELLA
ACOUSTIC
ADULT ALTERNATIVE
ADULT CONTEMPORARY
AFRICAN LANGUAGES
AFRO TRAP
AFROBEATS
ALTERNATIVE
ALTERNATIVE COUNTRY
ALTERNATIVE DANCE
ALTERNATIVE METAL
ALTERNATIVE POP
ALTERNATIVE R&;B
ALTERNATIVE ROCK
AMBIENT
AMERICAN IDOL
AMERICAN UNDERGROUND
AMERICANA
ANIME
ART POP
ART ROCK
ATLANTA
AUSSIE HIP-HOP
AUSTRALIA
AVANT GARDE
BACHATA
BALLAD
BAROQUE POP
BASKETBALL
BASS MUSIC
BASSLINE
BAY AREA
BEDROOM POP
BEEF
BIG BAND
BLUE-EYED SOUL
BLUEGRASS
BLUES
BLUES ROCK
BOLIVIA
BOOM BAP
BOSSA NOVA
BOUNCE
BOY BAND
BRASIL
BRIT POP
BRITISH ROCK
BROADWAY
BUBBLEGUM POP
CALYPSO
CANADA
CELTIC
CHAMBER MUSIC
CHARITY
CHART HISTORY
CHICAGO DRILL
CHILDREN&#39;S MUSIC
CHILL
CHILLHOP
CHILLSTEP
CHRISTIAN
CHRISTIAN METAL
CHRISTIAN POP
CHRISTIAN ROCK
CHRISTMAS
CIVIL RIGHTS
CLASSICAL CROSSOVER
CLASSICAL MUSIC
CLIMATE CHANGE
CLOUD RAP
COLOMBIA
COMEDY
CONSCIOUS HIP-HOP
CONTEMPORARY FOLK
COUNTRY
COUNTRY RAP
COVER
CRUNK
CUBA
DAB
DANCE
DANCE-POP
DANCEHALL
DANMARK
DARK AMBIENT
DARK POP
DEEP HOUSE
DEUTSCHER RAP
DEUTSCHLAND
DIPSET
DIRTY SOUTH
DISCO
DISNEY
DMV
DOMINICAN REPUBLIC
DOO-WOP
DOWNTEMPO
DREAM-POP
DRILL
DRUM &; BASS
DRUMSTEP
DUBSTEP
EAST COAST
EASY LISTENING
EDM
EIGHTIES
ELECTRO
ELECTRO HOUSE
ELECTRO-FUNK
ELECTRO-HOP
ELECTRO-POP
